task,doc_id,dataset_family,w_auto,w_aug
mmlu_virology,159,mmlu_other,8.114145,6.697420
hellaswag,9459,pretrain,5.778625,6.339600
hellaswag,1040,pretrain,4.744975,6.143700
hellaswag,2803,pretrain,6.152528,6.155350
hellaswag,4741,pretrain,6.532695,6.744217
piqa,39,pretrain,6.126670,7.167400
mmlu_moral_scenarios,517,mmlu_humanities,5.619260,7.020333
hellaswag,9560,pretrain,7.006262,6.771553
hellaswag,1084,pretrain,6.040425,4.947662
hellaswag,3150,pretrain,5.937475,6.743700
hellaswag,4803,pretrain,6.952195,6.380623
hellaswag,9577,pretrain,6.544158,6.876025
piqa,118,pretrain,8.271435,4.878217
mmlu_moral_scenarios,831,mmlu_humanities,6.556950,7.020333
hellaswag,3432,pretrain,6.398875,6.944217
hellaswag,5155,pretrain,6.992912,6.714767
hellaswag,1139,pretrain,7.226658,6.128923
mmlu_nutrition,3,mmlu_other,6.952195,6.537758
hellaswag,9763,pretrain,5.263235,6.388295
piqa,161,pretrain,6.672442,7.167400
hellaswag,1169,pretrain,6.942270,6.736550
hellaswag,5168,pretrain,6.052025,6.525007
hellaswag,3456,pretrain,7.104450,6.713457
mmlu_philosophy,32,mmlu_humanities,7.655595,5.737758
hellaswag,9771,pretrain,6.809170,6.771553
piqa,175,pretrain,8.210150,6.677987
hellaswag,1291,pretrain,5.374685,6.370942
hellaswag,5313,pretrain,6.150670,7.020333
hellaswag,3483,pretrain,6.257775,6.483265
mmlu_philosophy,76,mmlu_humanities,7.714685,6.023100
hellaswag,9891,pretrain,6.126670,6.944217
piqa,229,pretrain,7.171398,7.162000
hellaswag,1307,pretrain,6.593508,7.061550
hellaswag,3527,pretrain,6.809170,6.697600
hellaswag,5514,pretrain,6.323762,6.776833
mmlu_philosophy,104,mmlu_humanities,7.375945,6.259850
piqa,490,pretrain,8.128703,6.261233
hellaswag,9980,pretrain,6.350075,6.855700
